CQID,CQ,scenario
MusicSCQ9,What does a certain critic say about a certain record?,"Music production
The current configuration of the 'Red Hot Chili Peppers' are: Anthony Kiedis (vocals), Flea (bass, trumpet, keyboards, and vocals), John Frusciante (guitar), and Chad Smith (drums).  The line-up has changed a few times during they years, Frusciante replaced Hillel Slovak in 1988, and when Jack Irons left the band he was briefly replaced by D.H. Peligo until the band found Chad Smith. In addition to playing guitars for Red hot Chili Peppers Frusciante also contributed to the band “The Mars Volta” as a vocalist for some time.
From September 2004, the Red Hot Chili Peppers started recording the album 'Stadium Arcadium'. The album contains 28 tracks and was released on May 5 2006. It includes a track of the song 'Hump de Bump', which was composed in January 26, 2004.
The critic Crian Hiatt defined the album as the most ambitious work in his twenty-three-year career. On August 11 (2006) the band gave a live performance in Portland, Oregon (US), featuring songs from Stadium Arcadium."
MusicSCQ10,When did a certain performance take place?,"Music production
The current configuration of the 'Red Hot Chili Peppers' are: Anthony Kiedis (vocals), Flea (bass, trumpet, keyboards, and vocals), John Frusciante (guitar), and Chad Smith (drums).  The line-up has changed a few times during they years, Frusciante replaced Hillel Slovak in 1988, and when Jack Irons left the band he was briefly replaced by D.H. Peligo until the band found Chad Smith. In addition to playing guitars for Red hot Chili Peppers Frusciante also contributed to the band “The Mars Volta” as a vocalist for some time.
From September 2004, the Red Hot Chili Peppers started recording the album 'Stadium Arcadium'. The album contains 28 tracks and was released on May 5 2006. It includes a track of the song 'Hump de Bump', which was composed in January 26, 2004.
The critic Crian Hiatt defined the album as the most ambitious work in his twenty-three-year career. On August 11 (2006) the band gave a live performance in Portland, Oregon (US), featuring songs from Stadium Arcadium."
MusicSCQ11,What songs were played in a certain performance?,"Music production
The current configuration of the 'Red Hot Chili Peppers' are: Anthony Kiedis (vocals), Flea (bass, trumpet, keyboards, and vocals), John Frusciante (guitar), and Chad Smith (drums).  The line-up has changed a few times during they years, Frusciante replaced Hillel Slovak in 1988, and when Jack Irons left the band he was briefly replaced by D.H. Peligo until the band found Chad Smith. In addition to playing guitars for Red hot Chili Peppers Frusciante also contributed to the band “The Mars Volta” as a vocalist for some time.
From September 2004, the Red Hot Chili Peppers started recording the album 'Stadium Arcadium'. The album contains 28 tracks and was released on May 5 2006. It includes a track of the song 'Hump de Bump', which was composed in January 26, 2004.
The critic Crian Hiatt defined the album as the most ambitious work in his twenty-three-year career. On August 11 (2006) the band gave a live performance in Portland, Oregon (US), featuring songs from Stadium Arcadium."
MusicSCQ12,Where did a certain performance take place?,"Music production
The current configuration of the 'Red Hot Chili Peppers' are: Anthony Kiedis (vocals), Flea (bass, trumpet, keyboards, and vocals), John Frusciante (guitar), and Chad Smith (drums).  The line-up has changed a few times during they years, Frusciante replaced Hillel Slovak in 1988, and when Jack Irons left the band he was briefly replaced by D.H. Peligo until the band found Chad Smith. In addition to playing guitars for Red hot Chili Peppers Frusciante also contributed to the band “The Mars Volta” as a vocalist for some time.
From September 2004, the Red Hot Chili Peppers started recording the album 'Stadium Arcadium'. The album contains 28 tracks and was released on May 5 2006. It includes a track of the song 'Hump de Bump', which was composed in January 26, 2004.
The critic Crian Hiatt defined the album as the most ambitious work in his twenty-three-year career. On August 11 (2006) the band gave a live performance in Portland, Oregon (US), featuring songs from Stadium Arcadium."
MusicSCQ13,In what region is a certain city located?,"Music production
The current configuration of the 'Red Hot Chili Peppers' are: Anthony Kiedis (vocals), Flea (bass, trumpet, keyboards, and vocals), John Frusciante (guitar), and Chad Smith (drums).  The line-up has changed a few times during they years, Frusciante replaced Hillel Slovak in 1988, and when Jack Irons left the band he was briefly replaced by D.H. Peligo until the band found Chad Smith. In addition to playing guitars for Red hot Chili Peppers Frusciante also contributed to the band “The Mars Volta” as a vocalist for some time.
From September 2004, the Red Hot Chili Peppers started recording the album 'Stadium Arcadium'. The album contains 28 tracks and was released on May 5 2006. It includes a track of the song 'Hump de Bump', which was composed in January 26, 2004.
The critic Crian Hiatt defined the album as the most ambitious work in his twenty-three-year career. On August 11 (2006) the band gave a live performance in Portland, Oregon (US), featuring songs from Stadium Arcadium."
MusicSCQ14,In what country is a certain region located?,"Music production
The current configuration of the 'Red Hot Chili Peppers' are: Anthony Kiedis (vocals), Flea (bass, trumpet, keyboards, and vocals), John Frusciante (guitar), and Chad Smith (drums).  The line-up has changed a few times during they years, Frusciante replaced Hillel Slovak in 1988, and when Jack Irons left the band he was briefly replaced by D.H. Peligo until the band found Chad Smith. In addition to playing guitars for Red hot Chili Peppers Frusciante also contributed to the band “The Mars Volta” as a vocalist for some time.
From September 2004, the Red Hot Chili Peppers started recording the album 'Stadium Arcadium'. The album contains 28 tracks and was released on May 5 2006. It includes a track of the song 'Hump de Bump', which was composed in January 26, 2004.
The critic Crian Hiatt defined the album as the most ambitious work in his twenty-three-year career. On August 11 (2006) the band gave a live performance in Portland, Oregon (US), featuring songs from Stadium Arcadium."
MusicSCQ15,A record always contains at least one track.,"Music production
The current configuration of the 'Red Hot Chili Peppers' are: Anthony Kiedis (vocals), Flea (bass, trumpet, keyboards, and vocals), John Frusciante (guitar), and Chad Smith (drums).  The line-up has changed a few times during they years, Frusciante replaced Hillel Slovak in 1988, and when Jack Irons left the band he was briefly replaced by D.H. Peligo until the band found Chad Smith. In addition to playing guitars for Red hot Chili Peppers Frusciante also contributed to the band “The Mars Volta” as a vocalist for some time.
From September 2004, the Red Hot Chili Peppers started recording the album 'Stadium Arcadium'. The album contains 28 tracks and was released on May 5 2006. It includes a track of the song 'Hump de Bump', which was composed in January 26, 2004.
The critic Crian Hiatt defined the album as the most ambitious work in his twenty-three-year career. On August 11 (2006) the band gave a live performance in Portland, Oregon (US), featuring songs from Stadium Arcadium."
HospitalSCQ1,What medical degrees does a certain person have?,"Hospital setting
Pasquale Di Gennaro first studied to become a nursing assistant, but after working some years he decided to continue studying to become a certified nurse. He took his degree in May 2001. On September 21 (2001) he was employed at Ospedale Riunito delle Tre Valli in the city of Nocera Inferiore (IT). In the hospital there are different unions organising the staff. Pasquale Di Gennaro has been the union representative for male nurses at Ospedale Riunito delle Tre Valli from 2002. Senior doctors regularly evaluate all employees working with patient care, and these written statements are stored for future reference.
To constantly update their knowledge both nurses and doctors read research articles that can be found in article collections at the hospital library. Article collections are usually available both as books and electronically on CDs. In 2008 an article collection entitled 'Nurse practices in cancer patient care – longitudinal studies at Italian hospitals' was published as a book. The book contains an article by Pasquale Di Gennaro, entitled 'A 5 year-program for improving cancer care – experiences and future directions'. In total the book version of this collection has 346 pages. For discussing new articles Italian hospitals regularly hold seminars where a number of articles are presented. In December 2008 such a seminar was held in Nocera Inferiore at Ospedale Riunito delle Tre Valli."
HospitalSCQ2,During what time period did a certain person study for a specific degree?,"Hospital setting
Pasquale Di Gennaro first studied to become a nursing assistant, but after working some years he decided to continue studying to become a certified nurse. He took his degree in May 2001. On September 21 (2001) he was employed at Ospedale Riunito delle Tre Valli in the city of Nocera Inferiore (IT). In the hospital there are different unions organising the staff. Pasquale Di Gennaro has been the union representative for male nurses at Ospedale Riunito delle Tre Valli from 2002. Senior doctors regularly evaluate all employees working with patient care, and these written statements are stored for future reference.
To constantly update their knowledge both nurses and doctors read research articles that can be found in article collections at the hospital library. Article collections are usually available both as books and electronically on CDs. In 2008 an article collection entitled 'Nurse practices in cancer patient care – longitudinal studies at Italian hospitals' was published as a book. The book contains an article by Pasquale Di Gennaro, entitled 'A 5 year-program for improving cancer care – experiences and future directions'. In total the book version of this collection has 346 pages. For discussing new articles Italian hospitals regularly hold seminars where a number of articles are presented. In December 2008 such a seminar was held in Nocera Inferiore at Ospedale Riunito delle Tre Valli."
HospitalSCQ3,When was a certain person first employed at a certain hospital?,"Hospital setting
Pasquale Di Gennaro first studied to become a nursing assistant, but after working some years he decided to continue studying to become a certified nurse. He took his degree in May 2001. On September 21 (2001) he was employed at Ospedale Riunito delle Tre Valli in the city of Nocera Inferiore (IT). In the hospital there are different unions organising the staff. Pasquale Di Gennaro has been the union representative for male nurses at Ospedale Riunito delle Tre Valli from 2002. Senior doctors regularly evaluate all employees working with patient care, and these written statements are stored for future reference.
To constantly update their knowledge both nurses and doctors read research articles that can be found in article collections at the hospital library. Article collections are usually available both as books and electronically on CDs. In 2008 an article collection entitled 'Nurse practices in cancer patient care – longitudinal studies at Italian hospitals' was published as a book. The book contains an article by Pasquale Di Gennaro, entitled 'A 5 year-program for improving cancer care – experiences and future directions'. In total the book version of this collection has 346 pages. For discussing new articles Italian hospitals regularly hold seminars where a number of articles are presented. In December 2008 such a seminar was held in Nocera Inferiore at Ospedale Riunito delle Tre Valli."
HospitalSCQ4,In what city is a certain hospital located?,"Hospital setting
Pasquale Di Gennaro first studied to become a nursing assistant, but after working some years he decided to continue studying to become a certified nurse. He took his degree in May 2001. On September 21 (2001) he was employed at Ospedale Riunito delle Tre Valli in the city of Nocera Inferiore (IT). In the hospital there are different unions organising the staff. Pasquale Di Gennaro has been the union representative for male nurses at Ospedale Riunito delle Tre Valli from 2002. Senior doctors regularly evaluate all employees working with patient care, and these written statements are stored for future reference.
To constantly update their knowledge both nurses and doctors read research articles that can be found in article collections at the hospital library. Article collections are usually available both as books and electronically on CDs. In 2008 an article collection entitled 'Nurse practices in cancer patient care – longitudinal studies at Italian hospitals' was published as a book. The book contains an article by Pasquale Di Gennaro, entitled 'A 5 year-program for improving cancer care – experiences and future directions'. In total the book version of this collection has 346 pages. For discussing new articles Italian hospitals regularly hold seminars where a number of articles are presented. In December 2008 such a seminar was held in Nocera Inferiore at Ospedale Riunito delle Tre Valli."
HospitalSCQ5,In what country is a certain city located?,"Hospital setting
Pasquale Di Gennaro first studied to become a nursing assistant, but after working some years he decided to continue studying to become a certified nurse. He took his degree in May 2001. On September 21 (2001) he was employed at Ospedale Riunito delle Tre Valli in the city of Nocera Inferiore (IT). In the hospital there are different unions organising the staff. Pasquale Di Gennaro has been the union representative for male nurses at Ospedale Riunito delle Tre Valli from 2002. Senior doctors regularly evaluate all employees working with patient care, and these written statements are stored for future reference.
To constantly update their knowledge both nurses and doctors read research articles that can be found in article collections at the hospital library. Article collections are usually available both as books and electronically on CDs. In 2008 an article collection entitled 'Nurse practices in cancer patient care – longitudinal studies at Italian hospitals' was published as a book. The book contains an article by Pasquale Di Gennaro, entitled 'A 5 year-program for improving cancer care – experiences and future directions'. In total the book version of this collection has 346 pages. For discussing new articles Italian hospitals regularly hold seminars where a number of articles are presented. In December 2008 such a seminar was held in Nocera Inferiore at Ospedale Riunito delle Tre Valli."
HospitalSCQ6,Who are the members of a certain union at a certain point in time?,"Hospital setting
Pasquale Di Gennaro first studied to become a nursing assistant, but after working some years he decided to continue studying to become a certified nurse. He took his degree in May 2001. On September 21 (2001) he was employed at Ospedale Riunito delle Tre Valli in the city of Nocera Inferiore (IT). In the hospital there are different unions organising the staff. Pasquale Di Gennaro has been the union representative for male nurses at Ospedale Riunito delle Tre Valli from 2002. Senior doctors regularly evaluate all employees working with patient care, and these written statements are stored for future reference.
To constantly update their knowledge both nurses and doctors read research articles that can be found in article collections at the hospital library. Article collections are usually available both as books and electronically on CDs. In 2008 an article collection entitled 'Nurse practices in cancer patient care – longitudinal studies at Italian hospitals' was published as a book. The book contains an article by Pasquale Di Gennaro, entitled 'A 5 year-program for improving cancer care – experiences and future directions'. In total the book version of this collection has 346 pages. For discussing new articles Italian hospitals regularly hold seminars where a number of articles are presented. In December 2008 such a seminar was held in Nocera Inferiore at Ospedale Riunito delle Tre Valli."
HospitalSCQ7,What role does a certain person have within a certain union group at a certain point in time?,"Hospital setting
Pasquale Di Gennaro first studied to become a nursing assistant, but after working some years he decided to continue studying to become a certified nurse. He took his degree in May 2001. On September 21 (2001) he was employed at Ospedale Riunito delle Tre Valli in the city of Nocera Inferiore (IT). In the hospital there are different unions organising the staff. Pasquale Di Gennaro has been the union representative for male nurses at Ospedale Riunito delle Tre Valli from 2002. Senior doctors regularly evaluate all employees working with patient care, and these written statements are stored for future reference.
To constantly update their knowledge both nurses and doctors read research articles that can be found in article collections at the hospital library. Article collections are usually available both as books and electronically on CDs. In 2008 an article collection entitled 'Nurse practices in cancer patient care – longitudinal studies at Italian hospitals' was published as a book. The book contains an article by Pasquale Di Gennaro, entitled 'A 5 year-program for improving cancer care – experiences and future directions'. In total the book version of this collection has 346 pages. For discussing new articles Italian hospitals regularly hold seminars where a number of articles are presented. In December 2008 such a seminar was held in Nocera Inferiore at Ospedale Riunito delle Tre Valli."
HospitalSCQ8,What is the evaluation statement given by a certain doctor for a certain employee?,"Hospital setting
Pasquale Di Gennaro first studied to become a nursing assistant, but after working some years he decided to continue studying to become a certified nurse. He took his degree in May 2001. On September 21 (2001) he was employed at Ospedale Riunito delle Tre Valli in the city of Nocera Inferiore (IT). In the hospital there are different unions organising the staff. Pasquale Di Gennaro has been the union representative for male nurses at Ospedale Riunito delle Tre Valli from 2002. Senior doctors regularly evaluate all employees working with patient care, and these written statements are stored for future reference.
To constantly update their knowledge both nurses and doctors read research articles that can be found in article collections at the hospital library. Article collections are usually available both as books and electronically on CDs. In 2008 an article collection entitled 'Nurse practices in cancer patient care – longitudinal studies at Italian hospitals' was published as a book. The book contains an article by Pasquale Di Gennaro, entitled 'A 5 year-program for improving cancer care – experiences and future directions'. In total the book version of this collection has 346 pages. For discussing new articles Italian hospitals regularly hold seminars where a number of articles are presented. In December 2008 such a seminar was held in Nocera Inferiore at Ospedale Riunito delle Tre Valli."
HospitalSCQ9,What articles is a specific book or CD composed of?,"Hospital setting
Pasquale Di Gennaro first studied to become a nursing assistant, but after working some years he decided to continue studying to become a certified nurse. He took his degree in May 2001. On September 21 (2001) he was employed at Ospedale Riunito delle Tre Valli in the city of Nocera Inferiore (IT). In the hospital there are different unions organising the staff. Pasquale Di Gennaro has been the union representative for male nurses at Ospedale Riunito delle Tre Valli from 2002. Senior doctors regularly evaluate all employees working with patient care, and these written statements are stored for future reference.
To constantly update their knowledge both nurses and doctors read research articles that can be found in article collections at the hospital library. Article collections are usually available both as books and electronically on CDs. In 2008 an article collection entitled 'Nurse practices in cancer patient care – longitudinal studies at Italian hospitals' was published as a book. The book contains an article by Pasquale Di Gennaro, entitled 'A 5 year-program for improving cancer care – experiences and future directions'. In total the book version of this collection has 346 pages. For discussing new articles Italian hospitals regularly hold seminars where a number of articles are presented. In December 2008 such a seminar was held in Nocera Inferiore at Ospedale Riunito delle Tre Valli."
HospitalSCQ10,How many pages does a particular book contain?,"Hospital setting
Pasquale Di Gennaro first studied to become a nursing assistant, but after working some years he decided to continue studying to become a certified nurse. He took his degree in May 2001. On September 21 (2001) he was employed at Ospedale Riunito delle Tre Valli in the city of Nocera Inferiore (IT). In the hospital there are different unions organising the staff. Pasquale Di Gennaro has been the union representative for male nurses at Ospedale Riunito delle Tre Valli from 2002. Senior doctors regularly evaluate all employees working with patient care, and these written statements are stored for future reference.
To constantly update their knowledge both nurses and doctors read research articles that can be found in article collections at the hospital library. Article collections are usually available both as books and electronically on CDs. In 2008 an article collection entitled 'Nurse practices in cancer patient care – longitudinal studies at Italian hospitals' was published as a book. The book contains an article by Pasquale Di Gennaro, entitled 'A 5 year-program for improving cancer care – experiences and future directions'. In total the book version of this collection has 346 pages. For discussing new articles Italian hospitals regularly hold seminars where a number of articles are presented. In December 2008 such a seminar was held in Nocera Inferiore at Ospedale Riunito delle Tre Valli."
HospitalSCQ11,When was a certain book or CD published?,"Hospital setting
Pasquale Di Gennaro first studied to become a nursing assistant, but after working some years he decided to continue studying to become a certified nurse. He took his degree in May 2001. On September 21 (2001) he was employed at Ospedale Riunito delle Tre Valli in the city of Nocera Inferiore (IT). In the hospital there are different unions organising the staff. Pasquale Di Gennaro has been the union representative for male nurses at Ospedale Riunito delle Tre Valli from 2002. Senior doctors regularly evaluate all employees working with patient care, and these written statements are stored for future reference.
To constantly update their knowledge both nurses and doctors read research articles that can be found in article collections at the hospital library. Article collections are usually available both as books and electronically on CDs. In 2008 an article collection entitled 'Nurse practices in cancer patient care – longitudinal studies at Italian hospitals' was published as a book. The book contains an article by Pasquale Di Gennaro, entitled 'A 5 year-program for improving cancer care – experiences and future directions'. In total the book version of this collection has 346 pages. For discussing new articles Italian hospitals regularly hold seminars where a number of articles are presented. In December 2008 such a seminar was held in Nocera Inferiore at Ospedale Riunito delle Tre Valli."
HospitalSCQ12,When did a certain seminar take place?,"Hospital setting
Pasquale Di Gennaro first studied to become a nursing assistant, but after working some years he decided to continue studying to become a certified nurse. He took his degree in May 2001. On September 21 (2001) he was employed at Ospedale Riunito delle Tre Valli in the city of Nocera Inferiore (IT). In the hospital there are different unions organising the staff. Pasquale Di Gennaro has been the union representative for male nurses at Ospedale Riunito delle Tre Valli from 2002. Senior doctors regularly evaluate all employees working with patient care, and these written statements are stored for future reference.
To constantly update their knowledge both nurses and doctors read research articles that can be found in article collections at the hospital library. Article collections are usually available both as books and electronically on CDs. In 2008 an article collection entitled 'Nurse practices in cancer patient care – longitudinal studies at Italian hospitals' was published as a book. The book contains an article by Pasquale Di Gennaro, entitled 'A 5 year-program for improving cancer care – experiences and future directions'. In total the book version of this collection has 346 pages. For discussing new articles Italian hospitals regularly hold seminars where a number of articles are presented. In December 2008 such a seminar was held in Nocera Inferiore at Ospedale Riunito delle Tre Valli."
HospitalSCQ13,What articles were presented in a certain seminar?,"Hospital setting
Pasquale Di Gennaro first studied to become a nursing assistant, but after working some years he decided to continue studying to become a certified nurse. He took his degree in May 2001. On September 21 (2001) he was employed at Ospedale Riunito delle Tre Valli in the city of Nocera Inferiore (IT). In the hospital there are different unions organising the staff. Pasquale Di Gennaro has been the union representative for male nurses at Ospedale Riunito delle Tre Valli from 2002. Senior doctors regularly evaluate all employees working with patient care, and these written statements are stored for future reference.
To constantly update their knowledge both nurses and doctors read research articles that can be found in article collections at the hospital library. Article collections are usually available both as books and electronically on CDs. In 2008 an article collection entitled 'Nurse practices in cancer patient care – longitudinal studies at Italian hospitals' was published as a book. The book contains an article by Pasquale Di Gennaro, entitled 'A 5 year-program for improving cancer care – experiences and future directions'. In total the book version of this collection has 346 pages. For discussing new articles Italian hospitals regularly hold seminars where a number of articles are presented. In December 2008 such a seminar was held in Nocera Inferiore at Ospedale Riunito delle Tre Valli."
HospitalSCQ14,Where did a certain seminar take place?,"Hospital setting
Pasquale Di Gennaro first studied to become a nursing assistant, but after working some years he decided to continue studying to become a certified nurse. He took his degree in May 2001. On September 21 (2001) he was employed at Ospedale Riunito delle Tre Valli in the city of Nocera Inferiore (IT). In the hospital there are different unions organising the staff. Pasquale Di Gennaro has been the union representative for male nurses at Ospedale Riunito delle Tre Valli from 2002. Senior doctors regularly evaluate all employees working with patient care, and these written statements are stored for future reference.
To constantly update their knowledge both nurses and doctors read research articles that can be found in article collections at the hospital library. Article collections are usually available both as books and electronically on CDs. In 2008 an article collection entitled 'Nurse practices in cancer patient care – longitudinal studies at Italian hospitals' was published as a book. The book contains an article by Pasquale Di Gennaro, entitled 'A 5 year-program for improving cancer care – experiences and future directions'. In total the book version of this collection has 346 pages. For discussing new articles Italian hospitals regularly hold seminars where a number of articles are presented. In December 2008 such a seminar was held in Nocera Inferiore at Ospedale Riunito delle Tre Valli."
HospitalSCQ15,At least one article is always presented at each seminar.,"Hospital setting
Pasquale Di Gennaro first studied to become a nursing assistant, but after working some years he decided to continue studying to become a certified nurse. He took his degree in May 2001. On September 21 (2001) he was employed at Ospedale Riunito delle Tre Valli in the city of Nocera Inferiore (IT). In the hospital there are different unions organising the staff. Pasquale Di Gennaro has been the union representative for male nurses at Ospedale Riunito delle Tre Valli from 2002. Senior doctors regularly evaluate all employees working with patient care, and these written statements are stored for future reference.
To constantly update their knowledge both nurses and doctors read research articles that can be found in article collections at the hospital library. Article collections are usually available both as books and electronically on CDs. In 2008 an article collection entitled 'Nurse practices in cancer patient care – longitudinal studies at Italian hospitals' was published as a book. The book contains an article by Pasquale Di Gennaro, entitled 'A 5 year-program for improving cancer care – experiences and future directions'. In total the book version of this collection has 346 pages. For discussing new articles Italian hospitals regularly hold seminars where a number of articles are presented. In December 2008 such a seminar was held in Nocera Inferiore at Ospedale Riunito delle Tre Valli."
